# Cross-Document Technical Audit:

## 1. TRADE PACKAGE: STRUCTURAL STEEL

**Baseline Scope:**
- Structural steel generally grade S355/S355JR to EN/NBN EN 10025 and hollow sections to NBN EN 10210.
- Design to Eurocodes including NBN EN 1990/1991/1993 (and EN 1993-1-10, EN 1993-1-8 where stated).
- Execution to EN 1090-2, Execution Class EXC2; NSSSBC 5th Edition referenced for primary frames.
- Connection design, erection tolerances and QA regime defined across primary frames, secondary steel, and interfaces.
- Bolting: non-preloaded bolts to NBN EN 15048; high-strength preloaded assemblies to NBN EN 14399 where required.
- Welding to EN 1011 and NBN EN ISO 9606-1 with associated structural detailing and inspection requirements.
- Scope includes:
  - Primary frames, beams, columns, baseplates and holding-down assemblies (H.D.A.).
  - Secondary steel for cladding, parapet cappings, flashings, louvres, canopies, doors/windows, roof liners, roof penetrations, movement joints.
  - Steel supports for Eurobond/Euroclad/Kingspan roof and wall systems and diaphragm action of roof decks.
  - Generator and USS trench beams/frames and similar embedded steel.
  - Cooling tower gantry frames (Shell A) across Phases 1–4 including integration between phases.
  - Structural supports for RMUs, battery boxes, plant, AHUs, and tray/pipe support interfaces.
  - External access steel (stairs, ladders, walkways, bumper rails) designed in conjunction with EN ISO 14122.
  - Miscellaneous structural frames for roller shutters, doors, smoke extract louvres, AOVs, and openings.
  - Steel interfaces (kickers, bolts, H.D.A.) cast into foundations, pad foundations, plinths and slabs across all phases.
- Anchor bolts, confinement angles and grout requirements consistently defined for all interfaces to foundations and slabs, with survey/QA procedures for H.D.A. setting-out.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
|-------|------|-------------------|------------------|
| CSA PHASE 1 | FSA - Structural Steel | S355JR primary structural framing including frames, baseplates, H.D.A., internal structural steel stairs and miscellaneous access steel coordinated with foundations. | Full primary structural frame with integrated access steel; detailed connection/erection and QA regime. |
| CSA PHASE 1 | FSA - Envelope | Secondary/miscellaneous steel to EN 10025/10210 supporting wall panels, parapets, flashings, canopies, cat ladders, louvres; anchor bolts and confinement angles to EN 15048. | Dedicated envelope secondary steel scope with tight interface tolerances. |
| CSA PHASE 1 | FSA - Roof | Roof-supporting structural steel per global structural spec. | No unique structural spec; relies on main structural steel standards. |
| CSA PHASE 1 | DCH - Structural Steel PH1 | S355 frame for DCH PH1 including primary framing, H.D.A. and initial misc steel to EN 1090-2 EXC2. | Establishes DCH Phase 1 primary frame baseline. |
| CSA PHASE 1 | DCH - Envelope PH1 | Secondary steel/metal fabrications for cladding, roof liner, parapet cappings, joints, flashings, louvres. | Explicit envelope secondary steel package within DCH. |
| CSA PHASE 1 | DCH - Roof PH1 | Roof structural steel per main structural spec. | No additional criteria beyond global rules. |
| CSA PHASE 1 | Generator Trench Structural Steel | Structural beams/frames for generator trench to EN 10025/10210; EN 1090-2 EXC2; anchor bolts to EN 15048. | Trench-specific structural steel package with defined connections. |
| CSA PHASE 1 | USS Trench Structural Steel | Structural beams for USS trench; same materials, execution and anchor bolt standards as generator trench. | Parallel trench steel scope; duplicated listing confirms same regime. |
| CSA PHASE 1 | Cooling Tower Gantry - Structural Steel PH1 | S355JR gantry frames with H.D.A.; main frames and integrated access steel (stairs, ladders, platforms). | Dedicated gantry frame package; non-fire-rated unless noted on drawings. |
| CSA PHASE 1 | MYD - Densified - Water Cooled Structural Steel PH1 | Structural supports for RMUs/battery boxes; linked Shell A gantry steel; EXC2; anchor bolts to EN 15048 across trenches. | Combines plant supports with gantry steel interfaces. |
| CSA PHASE 1 | EYD Foundations PH1 | Anchor bolts and confinement angles for future trestle/flue/steel stanchions; grout to baseplates; no above-ground frame. | Interface-only scope; steel frame by others/later. |
| CSA PHASE 1 | Cooling Tower Gantry - Pad Foundations & Plinths PH1 | Anchor bolts, confinement angles, weld details, grout beneath baseplates for gantry and equipment steel. | Structural steel limited to H.D.A./interface elements. |
| CSA PHASE 1 | Hold Down Bolt Assemblies Supply PH1 | Supply of H.D.A. sets; anchor bolts to EN 15048 and preloaded EN 14399 where applicable; templates and survey/QA prior to erection. | Centralized H.D.A. supply and QA package. |
| CSA PHASE 1 | Site Development PH1 (Fencing and Bollards CSA PH1) | Pipe/section posts, bollards, gates to ISO 4200/EN 10025; anchors/fixings for barriers and posts. | External miscellaneous structural members under site development. |
| CSA PHASE 1 | DCH & FSA Cladding Secondary Steel PH1 | Secondary framing to EN 10025/10210; anchors to EN 15048; weld/fabrication tolerances for Eurobond panel and penetration supports. | Shared secondary steel package for DCH & FSA cladding. |
| CSA PHASE 1 | Steel Decking FSA PH1 | “See Structural Steel” for supporting steel. | Steel frame in this zone is defined in main FSA structural scope. |
| CSA PHASE 1 | Steel Decking DCH PH1 | “See Structural Steel” for supporting steel. | Structural frame per DCH PH1 spec. |
| CSA PHASE 1 | USS Trench Structural Steel (duplicate listing) | Confirms USS trench structural beams/anchors as per main USS trench spec. | Duplicate confirmation of scope/standards. |
| CSA PHASE 1 | Steel Supports in EYD Slabs PH1 | H.D.A., kickers/bolts, trench steel interfaces to receive future steel supports; grout rules. | Interface steel only; no above-slab framing. |
| CSA PHASE 1 | Cooling Tower Gantry – Steel Foundations Interface PH1 | Anchor bolts to EN 15048, grout and baseplate requirements for gantry-to-foundations interface. | H.D.A./interface-only structural scope. |
| CSA PHASE 1 | FSA & DCH External Steelwork/Metalwork PH1 | Structural and secondary external access steel (stairs, ladders, railings, walkways, bumper rails) to EN 10025/10210; design to EN 1993. | External access steel integrated as structural scope. |
| CSA PHASE 1 | DCH - Structural Steel PH1 (global zones list) | Reference back to main DCH PH1 structural steel specification. | No new scope; cross-reference only. |
| CSA PHASE 1 | DCH - Envelope PH1 (global zones list) | Reference to DCH Envelope PH1 structural steel. | Cross-reference only. |
| CSA PHASE 1 | DCH - Roof PH1 (global zones list) | Reference to DCH Roof PH1 structural steel. | Cross-reference only. |
| CSA PHASE 1 | EYD Foundations PH1 (global zones list) | Reference to EYD Foundations PH1 structural interfaces. | Cross-reference only. |
| CSA PHASE 1 | Site Development PH1 (global) | Reference to Fencing and Bollards CSA PH1 structural steel. | Cross-reference only. |
| CSA PHASE 1 | Security Fence & RSA Steel Works PH1 – Security Fence | Fence post/handrail materials to ISO 4200/ISO 10799/EN 10025; anchors/fixings; posts as steel fabrications for 3 m chainlink. | Security fence structural posts defined as steel fabrications (no proprietary system spec). |
| CSA-RSA PHASE 1 | RSA - Security Fence & Infrastructure | Metal fabrication and guard materials for fence posts and gates; anchor bolts for posts/gates; steel frames for 3 m chainlink fence. | Extends fence/ gate structural scope to RSA perimeter. |
| CSA-SSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Structural Steel | S355 EXC2 structural frame with H.D.A.; anchor bolt/grout requirements; shotblasted and hot-dip galvanized frame. | Standalone small structural frame with full galvanizing. |
| CSA-SSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Roof | References main structural steel for roof supports. | Structural scope driven by main SSA frame specification. |
| CSA-SSA PHASE 1 | SSA - Load Bank Garage Envelope | Secondary steel/metal fabrications for cladding, parapet cappings, gutters, shutter frame; connection design to EN 1993. | Envelope secondary steel for SSA building. |
